Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Keysborough,Keysborough  Australia,"780,300","(-38.0053607, 145.1674069)",27.797919814981817
Chirnside Park,Chirnside Park  Australia,"779,400","(-37.7385835, 145.3143181)",32.055161388946374
Sandhurst,Sandhurst  Australia,"778,700","(-38.0819428, 145.21039)",36.813724418223536
Pascoe Vale,Pascoe Vale  Australia,"777,100","(-37.7308099, 144.9282189)",9.756038580605773
Sunshine,Sunshine  Australia,"775,400","(-37.788095299999995, 144.83260045)",11.858247075061794
Knoxfield,Knoxfield  Australia,"773,900","(-37.8897731, 145.2496342)",26.57027957145885
Watsonia,Watsonia  Australia,"773,500","(-37.7110022, 145.083635)",15.618320560672805
Heidelberg Heights,Heidelberg Heights  Australia,"773,300","(-37.7451831, 145.0529194)",11.010690628129359
Greenvale,Greenvale  Australia,"769,300","(-37.6347658, 144.8814617)",21.179881550402765
Cairnlea,Cairnlea  Australia,"762,600","(-37.7593157, 144.7878098)",16.604573956075445
Chelsea Heights,Chelsea Heights  Australia,"760,000","(-38.0408403, 145.1341354)",29.30325845106379
Keilor Lodge,Keilor Lodge  Australia,"755,900","(-37.6984134, 144.7998157)",19.297795709819273
Montrose,Montrose  Australia,"750,900","(-37.8106247, 145.3421513)",33.37463812044312
Taylors Lakes,Taylors Lakes  Australia,"750,900","(-37.698633, 144.7863077)",20.18573563120244
Bundoora,Bundoora  Australia,"749,200","(-37.697305650000004, 145.06625435609772)",15.840429215604722
Croydon South,Croydon South  Australia,"744,900","(-37.8150135, 145.2736124)",27.33635780845523
Reservoir,Reservoir  Australia,"744,700","(-37.7168415, 145.0069944)",11.477331804117973
Springvale,Springvale  Australia,"743,900","(-37.9491329, 145.1531926)",22.443879825419213
Croydon,Croydon  Australia,"740,300","(-37.7954483, 145.2804735)",28.021588319103213
Watsonia North,Watsonia North  Australia,"736,300","(-37.696046, 145.084977)",16.949026860633605
Toolern Vale,Toolern Vale  Australia,"735,600","(-37.6074215, 144.5941995)",39.81519195423487
Maidstone,Maidstone  Australia,"732,200","(-37.7819337, 144.8741606)",8.618689880596326
Upwey,Upwey  Australia,"730,300","(-37.9036086, 145.3313506)",33.885952191634885
Gowanbrae,Gowanbrae  Australia,"725,800","(-37.7027183, 144.8975976)",13.657670861241172
Keilor Park,Keilor Park  Australia,"722,600","(-37.7187247, 144.8501721)",14.541285962232735
Belgrave Heights,Belgrave Heights  Australia,"719,500","(-37.9266116, 145.3525247)",36.45950204870944
Ferntree Gully,Ferntree Gully  Australia,"719,400","(-37.8815788, 145.2951489)",30.16083294404252
Hadfield,Hadfield  Australia,"718,600","(-37.7101582, 144.9502764)",11.605424072775747
Lilydale,Lilydale  Australia,"709,200","(-37.7556696, 145.3475477)",34.47791835094499
Sunshine North,Sunshine North  Australia,"695,200","(-37.7639467, 144.8361969)",12.498067656211107
Williams Landing,Williams Landing  Australia,"694,600","(-37.8700305, 144.74696725497074)",20.012396777490363
Coldstream,Coldstream  Australia,"693,400","(-37.70355, 145.36900333333335)",37.813140126588245
Kingsbury,Kingsbury  Australia,"691,500","(-37.715569, 145.0355601)",12.672018443695768
Mooroolbark,Mooroolbark  Australia,"690,000","(-37.7847785, 145.312599)",30.948349082966413
Boronia,Boronia  Australia,"688,700","(-37.860645, 145.2848446)",28.7815953182504
Bayswater North,Bayswater North  Australia,"682,300","(-37.8269747, 145.2836847)",28.256333586604434
Tecoma,Tecoma  Australia,"679,800","(-37.90806535, 145.34294768017955)",35.006084568674176
Tremont,Tremont  Australia,"676,000","(-37.8788598, 145.3157699)",31.853501774260586
Seaford,Seaford  Australia,"675,600","(-38.1039807, 145.1282346)",35.282746824179284
Springvale South,Springvale South  Australia,"674,600","(-37.9708611, 145.1478692)",23.79617850470453
Glenroy,Glenroy  Australia,"671,400","(-37.7046061, 144.9173406970003)",12.818486451123386
Mill Park,Mill Park  Australia,"670,500","(-37.643871250000004, 145.06492155517242)",20.9271732469598
Braybrook,Braybrook  Australia,"668,600","(-37.7867076, 144.8548451)",10.016115663711703
Kilsyth,Kilsyth  Australia,"668,300","(-37.8037844, 145.3134593)",30.86891692381853
Narre Warren South,Narre Warren South  Australia,"664,000","(-38.04913355, 145.30398976081932)",39.72020039325318
Heidelberg West,Heidelberg West  Australia,"659,900","(-37.7382431, 145.0433922)",11.003134719893243
Upper Ferntree Gully,Upper Ferntree Gully  Australia,"659,000","(-37.8926042, 145.3076559)",31.54165410979661
Caroline Springs,Caroline Springs  Australia,"656,900","(-37.7345608, 144.7371975)",21.782537467882797
Hillside,Hillside  Australia,"655,000","(-37.6904862, 144.7417358)",23.86162016771863
Derrimut,Derrimut  Australia,"654,700","(-37.7987978, 144.776051)",16.56604439482406
Fawkner,Fawkner  Australia,"654,300","(-37.7146727, 144.9605203)",11.051139331508114
Selby,Selby  Australia,"654,200","(-37.9187608, 145.3784097)",38.33657844043354
Point Cook,Point Cook  Australia,"652,700","(-37.9064862, 144.7533059)",21.116622694352
Keilor Downs,Keilor Downs  Australia,"648,500","(-37.7205762, 144.8047614)",17.401317984127555
Gladstone Park,Gladstone Park  Australia,"644,700","(-37.6898311, 144.8944658)",15.074884040639114
Endeavour Hills,Endeavour Hills  Australia,"641,900","(-37.9702665, 145.2563443)",31.065338283797864
Noble Park North,Noble Park North  Australia,"641,100","(-37.9512702, 145.1908377)",25.15105326937737
Werribee South,Werribee South  Australia,"639,000","(-37.93536, 144.70225176163723)",26.603333282627112
Belgrave,Belgrave  Australia,"637,400","(-37.91104835, 145.35369147537594)",36.006564436646144
Sunshine West,Sunshine West  Australia,"631,300","(-37.7983442, 144.8110919)",13.507040674020027
Dandenong North,Dandenong North  Australia,"630,400","(-37.9558319, 145.2143234)",27.11529114654365
Altona Meadows,Altona Meadows  Australia,"630,000","(-37.8814419, 144.7845482)",17.40122401186301
Doreen,Doreen  Australia,"629,600","(-37.5963874, 145.1428928)",28.90906377154319
Albion,Albion  Australia,"629,500","(-37.777232, 144.82438959720713)",12.893325264737403
South Morang,South Morang  Australia,"629,100","(-37.6316767, 145.0836353)",22.87567018513852
Noble Park,Noble Park  Australia,"625,800","(-37.9663213, 145.1758464)",25.199830114994374
Beveridge,Beveridge  Australia,"623,000","(-37.4712651, 144.9745663)",38.07751228951447
Burnside Heights,Burnside Heights  Australia,"620,600","(-37.7324225, 144.7555804)",20.417688774246464
St Albans,St Albans  Australia,"614,400","(-37.7445766, 144.79970234688483)",16.343279031635205
Ardeer,Ardeer  Australia,"613,900","(-37.7829314, 144.8014916)",14.655882898639856
Lynbrook,Lynbrook  Australia,"612,400","(-38.0558639, 145.2561128)",37.18374330093531
Lalor,Lalor  Australia,"607,800","(-37.662922, 145.003955)",17.173188477056232
Tullamarine,Tullamarine  Australia,"603,300","(-37.704658, 144.8717732)",14.584962415347107
Thomastown,Thomastown  Australia,"597,100","(-37.632210650000005, 144.9924349066651)",20.365371884946672
Narre Warren,Narre Warren  Australia,"595,600","(-38.0276567, 145.3036255)",38.175957270050134
Kealba,Kealba  Australia,"588,900","(-37.7371074, 144.8282988)",14.64289364105583
Mernda,Mernda  Australia,"588,000","(-37.6027435, 145.1008348)",26.425356658858593
Kalorama,Kalorama  Australia,"587,500","(-37.8194174, 145.372162)",36.017351907948594
