Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Cheltenham,"(-37.9670081, 145.0546951)",18.773180320577453,"1,028,300",Supermarket,Shopping Mall,Pharmacy,Chinese Restaurant,Gas Station,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm
Eltham North,"(-37.6978921, 145.1417807)",20.35829571244801,"1,026,400",Bakery,Sports Club,Pub,Soccer Field,Video Store,Field,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Chadstone,"(-37.8822799, 145.1001365)",14.22705465225714,"1,023,300",Music Venue,Convenience Store,Train Station,Lingerie Store,Cafe,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market
Rosanna,"(-37.7428013, 145.0661769)",12.049606302085936,"1,022,300",Cafe,Pizza Place,Thai Restaurant,Beach,Indian Restaurant,Australian Restaurant,Sandwich Place,Farmers Market,Other Nightlife,Fast Food Restaurant
Vermont,"(-37.8384616, 145.1993471)",20.96703591401479,"1,011,300",Furniture / Home Store,Sandwich Place,Malay Restaurant,Pizza Place,Convenience Store,Supermarket,Bowling Alley,Field,Fast Food Restaurant,Cafe
Yarraville,"(-37.8158955, 144.8899037)",6.453164541022197,"1,008,000",Grocery Store,Fast Food Restaurant,Italian Restaurant,Pizza Place,Hotel,Cafe,Portuguese Restaurant,Sandwich Place,Gas Station,Electronics Store
Huntingdale,"(-37.9110043, 145.1023673)",16.29292661714791,"1,007,000",Construction & Landscaping,Bridal Shop,Business Service,Fish Market,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Brunswick West,"(-37.7633334, 144.9425563)",5.9322152517277225,"1,002,800",Cafe,Japanese Restaurant,Burger Joint,Grocery Store,Light Rail Station,Park,Malay Restaurant,Gym,Fast Food Restaurant,Vietnamese Restaurant
Seddon,"(-37.8090562, 144.8956199)",5.974952070175122,"997,300",Cafe,Bakery,Italian Restaurant,Bar,Thai Restaurant,Park,Asian Restaurant,Pizza Place,Ice Cream Shop,Malay Restaurant
Wantirna South,"(-37.8737902, 145.2217475)",23.701331933887293,"991,800",Market,Garden,Garden Center,Golf Course,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Warranwood,"(-37.7725114, 145.250157)",25.698494042441023,"990,400",Cafe,Park,Convenience Store,Coffee Shop,Grocery Store,Train Station,Dumpling Restaurant,Bakery,Italian Restaurant,Deli / Bodega
Niddrie,"(-37.73718965, 144.86462905846437)",12.183858806065185,"987,200",Cafe,Convenience Store,Sandwich Place,Fried Chicken Joint,Pizza Place,Pub,Hotel,Athletics & Sports,Event Service,Event Space
Nunawading,"(-37.8204496, 145.1752107)",18.683772285402853,"985,100",Park,Cafe,Playground,Gas Station,Fast Food Restaurant,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm
Oakleigh East,"(-37.9039215, 145.1153403)",16.687559538230595,"968,500",Recreation Center,Fish & Chips Shop,Gym,Park,Tour Provider,Playground,Skating Rink,Convenience Store,Fried Chicken Joint,Flea Market
Kallista,"(-37.8858076, 145.3729123)",36.927662609739116,"967,300",Cafe,Fish & Chips Shop,Train Station,Pizza Place,Vietnamese Restaurant,Paper / Office Supplies Store,Mexican Restaurant,Playground,Furniture / Home Store,Burger Joint
Coburg,"(-37.7449752, 144.9643314)",7.68606576601759,"965,600",Fish & Chips Shop,Pizza Place,Liquor Store,Beer Garden,Business Service,Event Service,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Preston,"(-37.721400349999996, 145.0099893570872)",11.097507794238071,"959,600",Fast Food Restaurant,Asian Restaurant,Convenience Store,Video Store,Burger Joint,Supermarket,Gas Station,Cafe,Miscellaneous Shop,Falafel Restaurant
Maribyrnong,"(-37.7695144, 144.8902049)",8.118601663048869,"953,300",Cafe,Boutique,Park,Train Station,Clothing Store,Chinese Restaurant,Food Truck,Bakery,Chocolate Shop,Lingerie Store
Spotswood,"(-37.830631, 144.885925)",7.039936372936357,"952,800",Golf Course,Grocery Store,Bank,Paintball Field,Athletics & Sports,Korean Restaurant,Thai Restaurant,Bakery,Locksmith,Arcade
Pascoe Vale South,"(-37.7434265, 144.9384767)",8.152628533326963,"951,000",Cafe,Train Station,Grocery Store,Pizza Place,Zoo Exhibit,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Eltham,"(-37.717870000000005, 145.15669012917934)",20.12780986220152,"949,200",Cafe,Coffee Shop,Pizza Place,Train Station,Japanese Restaurant,Shopping Mall,Sandwich Place,Park,Grocery Store,Performing Arts Venue
Oakleigh South,"(-37.9248257, 145.0921745)",16.720654172654726,"945,700",Cafe,Supermarket,Golf Course,Food & Drink Shop,Italian Restaurant,Road,Park,History Museum,Greek Restaurant,Fast Food Restaurant
Edithvale,"(-38.0380738, 145.1083923)",27.93586351701924,"945,100",Train Station,Ice Cream Shop,Pizza Place,Thrift / Vintage Store,Gas Station,Fast Food Restaurant,Zoo Exhibit,Field,Event Service,Event Space
Williamstown North,"(-37.8526453, 144.8688784)",9.331555902826883,"939,000",Cafe,Pub,Sandwich Place,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Macleod,"(-37.7261787, 145.0691029)",13.513339533866557,"936,800",Cafe,Forest,Coffee Shop,Park,Event Space,Food Court,Food & Drink Shop,Falafel Restaurant,Farm,Farmers Market
Forest Hill,"(-37.85299, 145.1694935589885)",18.66642994711412,"934,100",Cafe,Bus Station,Resort,Park,Moving Target,Playground,Australian Restaurant,Field,Event Space,Falafel Restaurant
Travancore,"(-37.7807553, 144.935503)",4.441621944028559,"930,400",Home Service,Cafe,Scenic Lookout,Vineyard,Zoo Exhibit,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
